"You will be redirected to Adyen website when you place an order.", "Va a ser redireccionado al website de Adyen cuando efectue su compra."
"%s ( Qty: %s ) (Price: %s %s ) <br />","%s ( Ctd: %s ) (Precio: %s %s ) <br />"
"Adyen %s <br /> authResult: %s <br /> pspReference: %s","Adyen %s <br /> authResult: %s <br /> pspReference: %s"
"Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s","Adyen %s <br /> eventCode: %s <br /> pspReference: %s <br /> success: %s"
"Adyen response(s): %s <br /> pspReference: %s", "Respuesta/s de Adyen: %s <br /> pspReference: %s"
"Authorize Only","Solo Autorizar"
"Authorize and Capture","Autorizar y Capturar"
"Can not connect payment service. Please try again later.","No podemos conectarnos con la pasarela de pagos. Por favor intente luego."
"Capture Mode set to Manual","Modo de Captura ajustado a Manual"
"Customer was redirected to Adyen.", "El cliente fue redireccionado a Adyen"
"Order can not Hold","No se puede mantener la compra"
"Order can not be canceled", "La orden no puede ser cancelada"
"Order rows: <br />","Filas de la orden: <br />"
"Shipment cost: %s %s <br />","Costo de envío: %s %s <br />"
"System error, please try again later","Error en el sistema, por favor intente luego"
"System error, please try again later: %s", "Error en el sistema, por favor intente luego: %s"
"The payment is REFUSED.", "El pago fue RECHAZADO."
"You will be redirected to Adyen in a few seconds.", "Va a ser redireccionado al website de Adyen en unos segundos."
"Your payment failed, Please try again later","Su pago falló"
"Your openinvoice payment failed","Su pago falló"
"--Please Select--","--Por favor seleccione--"
"Account Number","Número de cuenta"
"Account holder name","Nombre del titular de cuenta"
"Account holder: %s","Titular de cuenta: %s"
"Account number: xxx%s","Número de cuenta: xxx%s"
"Bank Location","Ubicación del Banco"
"Bank Location (City)","Ubicación del Banco (Ciudad)"
"Bank Location ID","ID de ubicación del Banco"
"Bank Name","Nombre del Banco"
"Bank code: %s", "Código del Banco: %s"
"Bank name: %s","Nombre del Banco: %s"
"Card Verification Number","Número de verificación de tarjeta"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type", "Tipo de Tarjeta de Crédito"
"Credit Card Type: %s", "Tipo de Tarjeta de Crédito: %s"
"Expiration Date", "Fecha de expiración"
"Expiration Date: %s/%s","Fecha de expiración: %s/%s"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"Payment Method: %s","Método de Pago: %s"
"Submitting payment information...","Confirmando la información del pago..."
"What is this?","Que es esto?"
"Order email sent to shopper.","La orden ha sido enviada al comprado. "
"The payment is PENDING by Adyen.","El pago se encuentra PENDIENTE en Adyen."
"The payment is AUTHORIZED by Adyen.","El pago fue AUTORIZADO por Adyen."
"There has an error occurred with your Adyen payment.","Se encontro un error en su pago de Adyen."
"There was an error with your payment.","Hubo un error con su pago."
"You will be redirected to Adyen website when you place an order.","Va a ser redireccionado al website de Adyen cuando efectue su compra."
"Your payment is cancelled.","Su pago fue cancelado."
"Your payment is CANCELLED","Su pago fue CANCELADO."
"Your payment is pending.","Su pago se encuentra pendiente."
"Your payment is refused.","Su pago ha sido rechazado."
"Your payment is authorized.","Su pago fue autorizado."
"Remember these details","Recordar estos datos"
"Choose Your Bank","Elija su Banco"
"You chose an invalid bank","El Banco elegido es inválido. "
"You have cancelled the order. Please try again","Ha cancelado la orden. Vuelve a intentarlo."
"Bank account holder name","Iban número no válido."
"IBAN","IBAN"
"I agree that the above amount will be debited from my bank account.", "Estoy de acuerdo en que la cantidad anterior será debitado de mi cuenta bancaria."
"Invalid Iban number.","Ungültige IBAN-Nummer"
"POS Payment","POS Pago"
"Payment","Pago"
"If you stuck on this page please press the payment button","Si usted se pegó en esta página, por favor presione el botón de pago"
"Click here to pay for your purchase", "Haga clic aquí para pagar por su compra"
"Please accept the conditions for a SEPA direct debit.", "Por favor, acepte las condiciones para un débito directo SEPA."
"Shopper Details", "Comprador Detalles"
"Save Card", "Guardar la tarjeta"
"There are no saved cards for this account.", "No hay cartas guardadas para esta cuenta."
"This is a new Customer", "Este es un nuevo cliente"
"You will be redirected to Adyen app when you place an order.", "Va a ser redireccionado al app de Adyen cuando efectue su compra."
